glosa,fecha,id,cuenta_id,centro_costo_id,tipo,valor
CONTIFICO,01/03/2025,gQbWGxEJguYggb6w,1qdG6z4NLUlppbN8,,D,40.96
"Doc. 001-003-000210416,   BOTONES",01/03/2025,QzaOrE2lLUX99ep4,DGe73Y47BH6xxen2,,D,3.50
"Doc. 001-003-000210416,   BOTONES",01/03/2025,QzaOrE2lLUX99ep4,MEegLgo2jhWxxaQ5,,H,3.50
"Doc. 001-001-000730458,   CONTIFICO",01/03/2025,nPeE5Z2lvCGJJep1,DGe73Y47BH6xxen2,,D,47.10
"Doc. 001-001-000730458,   CONTIFICO",01/03/2025,nPeE5Z2lvCGJJep1,MEegLgo2jhWxxaQ5,,H,47.10
CONTIFICO,01/03/2025,gQbWGxEJguYggb6w,DGe73Y47BH6xxen2,,H,47.10
CONTIFICO,01/03/2025,gQbWGxEJguYggb6w,nPeER14y4hGJJap1,,D,6.14
"Doc. 002-100-000049829,   varios",01/04/2025,gQbWDQVEJhYggd6w,DGe73Y47BH6xxen2,,D,188.93
"Doc. 001-001-000000385,   Uniforme Dreampack ""Sara""",01/04/2025,MEeg07nDrIWxxaQ5,JvaM8N4KRt800epz,,H,50.37
"Doc. 001-001-000000384,   Uniforme dreampack ""Hellen""",01/04/2025,RBe3NYyVpcMJJdLJ,MEegLgo2jhWxxaQ5,,D,106.98
"Doc. 001-001-000000384,   Uniforme dreampack ""Hellen""",01/04/2025,RBe3NYyVpcMJJdLJ,JvaM8N4KRt800epz,,H,106.98
"Doc. 001-001-000000387,   DESCIFRAR ""MARIA SOL BARCIA""",01/04/2025,pgenyDqWRhLqqdNQ,JvaM8N4KRt800epz,,H,30.00
"Doc. 001-001-000000385,   Uniforme Dreampack ""Sara""",01/04/2025,MEeg07nDrIWxxaQ5,MEegLgo2jhWxxaQ5,,D,50.37
contifico,01/04/2025,Lmav3WvK5Sgjjb3N,1qdG6z4NLUlppbN8,,D,40.96
contifico,01/04/2025,Lmav3WvK5Sgjjb3N,DGe73Y47BH6xxen2,,H,47.10
"Doc. 001-001-100000633,   OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,DGe7QroMOI6xxbn2,DGe73Y47BH6xxen2,,D,93.65
"Doc. 001-001-000000387,   DESCIFRAR ""MARIA SOL BARCIA""",01/04/2025,pgenyDqWRhLqqdNQ,loejqlr84CJMMdQM,,D,30.00
"Doc. 001-001-000000386,   Uniformes ""EPM"" sede MEXICO",01/04/2025,YWb4OWzDxCWQQaZ1,JvaM8N4KRt800epz,,H,432.30
"Doc. 001-001-000000386,   Uniformes ""EPM"" sede MEXICO",01/04/2025,YWb4OWzDxCWQQaZ1,MEegLgo2jhWxxaQ5,,D,432.30
"Doc. 001-001-000000387,   DESCIFRAR ""MARIA SOL BARCIA""",01/04/2025,JvaMGBAWmI800dpz,JvaM8N4KRt800epz,,H,19.45
"Doc. 001-001-000744802,   contifico",01/04/2025,PnazZAr9YTBppaO2,DGe73Y47BH6xxen2,,D,47.10
"Doc. 001-001-000744802,   contifico",01/04/2025,PnazZAr9YTBppaO2,xmbmZ8JV3IYKKdoK,,H,47.10
"Doc. 002-002-000032422,   alm",01/04/2025,pgenKlEREcLqqaNQ,MEegLgo2jhWxxaQ5,,H,7.98
"Doc. 002-001-000380443,   polifan",01/04/2025,RBe3W877QFMJJeLJ,DGe73Y47BH6xxen2,,D,16.91
"Doc. 002-001-000380443,   polifan",01/04/2025,RBe3W877QFMJJeLJ,MEegLgo2jhWxxaQ5,,H,16.91
"Doc. 001-001-100000633,   OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,JvaM4G8JOi800epz,DGe73Y47BH6xxen2,,D,1012.30
"Doc. 001-001-100000633,   OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,JvaM4G8JOi800epz,MEegLgo2jhWxxaQ5,,H,1012.30
"Doc. 001-001-100000633,   OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,DGe7QroMOI6xxbn2,PnazpQZ4OIBppdO2,,H,93.65
"Doc. 001-001-100000633,   OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,BleX4JLNgSNyyerN,DGe73Y47BH6xxen2,,D,1394.06
"Doc. 002-002-000032422,   alm",01/04/2025,pgenKlEREcLqqaNQ,DGe73Y47BH6xxen2,,D,7.98
"Doc. 034-050-000157734,   com",01/04/2025,kPbkEgp1xt066e5Y,MEegLgo2jhWxxaQ5,,H,7.00
"Doc. 034-050-000157734,   com",01/04/2025,kPbkEgp1xt066e5Y,DGe73Y47BH6xxen2,,D,7.00
"Doc. 001-001-000046826,   FOUR WAY STRETCH 60 GRIS
OSCURo",01/04/2025,1qdG4XjkQHlppeN8,MEegLgo2jhWxxaQ5,,H,53.54
"Doc. 001-001-000046826,   FOUR WAY STRETCH 60 GRIS
OSCURo",01/04/2025,1qdG4XjkQHlppeN8,DGe73Y47BH6xxen2,,D,53.54
"Doc. 002-001-000380443,   polifan",01/04/2025,9jaK4G0Oniwvvbk5,DGe73Y47BH6xxen2,,D,17.19
"Doc. 001-001-000000387,   DESCIFRAR ""MARIA SOL BARCIA""",01/04/2025,JvaMGBAWmI800dpz,MEegLgo2jhWxxaQ5,,D,19.45
"Doc. 001-001-100000633,   OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,BleX4JLNgSNyyerN,MEegLgo2jhWxxaQ5,,H,1394.06
contifico,01/04/2025,Lmav3WvK5Sgjjb3N,nPeER14y4hGJJap1,,D,6.14
"Doc. 002-001-000380443,   polifan",01/04/2025,9jaK4G0Oniwvvbk5,MEegLgo2jhWxxaQ5,,H,17.19
alm,01/04/2025,Y4er3Pllphj00a2L,DGe73Y47BH6xxen2,,H,7.98
varios,01/04/2025,9pdBWDMQkfm99e8K,Ejb2k2VNzsGJJdVN,,D,164.29
comb,01/04/2025,loej3EwRYFJMMaQM,nPeER14y4hGJJap1,,D,2.61
comb,01/04/2025,loej3EwRYFJMMaQM,DGe73Y47BH6xxen2,,H,20.00
comb,01/04/2025,loej3EwRYFJMMaQM,RMdR6k9yOFlkkdl6,,D,17.39
"OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,01dNvVo4pIxrrdX7,nPeER14y4hGJJap1,,D,326.09
"OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,01dNvVo4pIxrrdX7,loejR5DM4fJMMeQM,,D,2173.92
